Product Description
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Introducing the Sigfred Chandelier Lighting Fixture. we like this lamp style because it utilizes a classical shape that has withstood the test of time. We love its perseverance. Blending into any environment while still purposeful and fitting in. This luminaire adds style and coziness to any room. 
 This dimmable pendant draws on sleek mid-century silhouettes and industrial overhead lighting to spotlight your space. The teardrop-shaped steel shade features a reflective inner finish for contrast plus warmth. Suitable for damp locations, it can even brighten a bathroom or covered porch. 
 The assembly is very simple and does not require any skill other than connecting parts together. You won’t have to use glue, nails or other messy products. Simply join all the pieces. 
 Be disruptive, let us fade into your space!"
""
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 This single pendant light illuminates your home in a classic, contemporary design thanks to its sleek silhouette. Inside sits a 40W bulb that casts a bright glow throughout your space. This fixture is compatible with a dimmer switch to effortlessly take you from day tonight."
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Do you want to add a touch of luxury to your home but don't want to break the bank? Then look no further than our outdoor/indoor 10 ft. plug-in type bulb led string light with clear glass shades! Not only is this light perfect for adding a touch of elegance to any room, but it's also sustainable and eco-friendly - making it a great choice for anyone looking to make a positive impact on the environment. Plus, you can be sure that this light is both unique and stylish - perfect for any room in your home- indoors or out! 
 The set includes one 10-foot strand, each strand contains eight globe shades and LED light bulbs. These string lights will add a warm glow to interior or exterior spaces, creating the perfect ambiance for your home. Use as a single strand or connect up to four strands for larger areas. The bulbs look great with the lights on or off, providing a unique and trendy focal point during the day and at night. This set is ideal for porches and backyard patio spaces, or can be used for decorative lighting in bedrooms, living spaces, and more."
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 The misunderstood light single lamp pendant is an intricate 3d-printed pendant light fixture that features a unique and stylish design. It is perfect for any kitchen or dining room, and it comes with a light shade to customize your look. The sustainable light source used in this lamp is eco-friendly and helps reduce energy costs. 
 This single pendant light illuminates your home in a classic, contemporary design thanks to its sleek silhouette. Inside sits a 40W bulb that casts a bright glow throughout your space. This fixture is compatible with a dimmer switch to effortlessly take you from day tonight."
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Looking for a unique way to add light to your home? Check out the Smitty glass-globe light single lamp pendant! This beautiful pendant features a polished style and is made from durable brushed glass. It comes with a light shade that you can customize to perfectly fit your needs, and it's also environmentally friendly because it uses recycled materials. Plus, it's perfect for adding a touch of sophistication to any room. 
 This single pendant light illuminates your home in a classic, contemporary design thanks to its sleek silhouette. Inside sits a 40W bulb that casts a bright glow throughout your space. This fixture is compatible with a dimmer switch to effortlessly take you from day tonight."
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Metal, Others 
Package Size: 
 1000 x 200 x 200 mm 
125 x 200 x 200 mm 
750 x 200 x 200 mm 
500 x 200 x 200 mm 
Product information : 
Type of pendant lamp: glass pendant lamp 
Light source type: LED 
Body material: iron 
Voltage: 111V~240V (included) 
Light color: 2 heads black - 45CM-24W - tricolor dimming, 2 heads gold - 45CM-24W - tricolor dimming, 3 heads gold - 70CM-36W - tricolor dimming, 3 heads black - 70CM-36W - tricolor dimming, 4 heads black - 95CM-48W - tricolor dimming, 4 heads gold - 95CM-48W - tricolor dimming, 5 heads black - 120CM-60W - tricolor dimming, 5 heads gold - 120CM-60W - tricolor dimming 
Applicable place: corridor 
Exposure area: 15 ㎡ - 30 ㎡ 
 Size Information: 
 2 heads: diameter 45cm x height 32cm 
3 heads: 70cm in diameter x 32cm in height 
4 heads ：diameter 95cm x height 32cm 
5 heads: diameter 120cm x height 32cm"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 The price is for a x1 light pendant. Various combinations can be made up to 10!! Feel free to contact us to ask for more information and someone will get back to you within 24hrs. 
 Important Information 
 Material: Metal 
Package Size: 
 400 x 200 x 100 mm 
620 x 100 x 30 mm 
300 x 300 x 100 mm 
420 x 420 x 150 mm 
420 x 200 x 100 mm 
Product information: 
 Material: ABS hardware chassis 
Style: modern and simple 
Features: Variable light 
 Packing list: 
 light*1"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Metal, Others 
Package Size: 
 950 x 300 x 230 mm 
770 x 280 x 200 mm 
Product Details: 
Lighting color: small bronze wall light 
Pattern: plain 
Type: Wall Light 
Material: iron + glass 
Process: paint 
 Package Contents: 
Wrought iron wall lamp X1"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Metal, Wood 
Package Size: 
 260 x 260 x 200 mm 
Light source type: LED lamp 
Adjustable height: 1 (m) 
Overall dimension: 240 (mm) 
Style: Modern and simple 
Average service life: 50000 (H) 
Voltage: 220 V 
Lamp body material: aluminum alloy 
Irradiation area: 3-5 M2 
Number of light sources: 1 
Light source power: without light source, with LED bulb (W) 
Chandelier type: zinc alloy Chandelier 
Lamp type: fishline pendant lamp 
Number of head: single head Chandelier"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Plastic 
Package Size: 
 180 x 180 x 200 mm 
Overview： 
 Dining room chandelier corridor three-headed small chandelier creative personality Macaron light luxury lamps simple bar milk tea shop lamp 
 Specification： 
 Light source type: LED lamp 
Switch type: push button type 
Adjustable height :1 (m) 
Dimensions :150*200 (mm) 
Style: Modern and simple 
Average service life :10000 (h) 
Voltage: 220 v 
Applicable places: living room, bedroom, study, corridor, dining room, balcony 
 Note: No light source, use under 220V voltage,no light bulb"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Metal, Others 
Package Size: 
 330 x 220 x 210 mm 
450 x 320 x 310 mm 
370 x 270 x 260 mm 
Product Information： 
 Chandelier Type: All Copper/Copper Chandelier 
Intelligent type: non-intelligent 
Light source type: led light 
Lamp body material: copper 
Switch type: push button 
Adjustable height: 0.5 (m) 
Average service life: 30000 (h) 
Voltage: 220V 
Light color: 15cm[all copper material], 20cm[all copper material], 25cm[all copper material], 30[all copper material], 40cm[all copper material] 
Light source power: Suspended wire type, boom type (W) 
Applicable places: corridors, living rooms, bedrooms, study rooms, corridors, courtyards, restaurants, entrances, balconies, hotel rooms, exhibition halls, warehouses 
Irradiation area: 5㎡ -10㎡ 
 Packing List 
 Chandelier*1"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Important Information 
 Material: Metal 
Package Size: 
 350 x 150 x 150 mm 
 Product information: 
 Light source type: led light 
Lamp body material: iron 
Switch type: push button 
Voltage: 220V 
Style 1: A section 6 heads black + copper color (without light source), 
Style 2: A style 6-head electroplated copper color (without light source), 
Style 3: Type B black (without light source), 
Style 4: B copper natural color (without light source), 
Style 5: C style 4 heads (without light source), 
Style 6: C style 6 heads (without light source), 
Style 7: D style 6 heads (without light source), 
Style 8: D style 8 heads (without light source) 
Light source power: e27 screw port, e26 screw port (W) 
Applicable places: living room 
Irradiation area: 15㎡ -30㎡ 
 Packing list: 
 1*light"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Product Information:Shade material: AcrylicVoltage: AC85-265V (V)Light source power: warm white, cool white, neutral light (W)Lamp shape: squareSwitch type: no switchLight source type: led lightSize Information:Size: 100*400 (mm)Packing list:Lamp X1"
"Hi! Thanks for your patience as we're working on updating this listing. Please feel free to send us a message with any questions should the listing below be missing any information you need to make an order. 
 Product information:Supply category: spotShade material: glassStyle: simple and modernVoltage: 220V (V)Lamp holder specifications: G9Dimensions: 19*60 (mm)Scope of application: household placesApplicable object: generalLight color: A type [all copper] warm light, A type [all copper] three-color light, B type [all copper] warm light, B type [all copper] three-color lightMain material of lamp body: copperFeatures:Exquisite workmanship, stylish and beautifulPacking list:Wall lamp*1Image："
